Udara, Ketinggian, Pesawat, Terbang = aviator
Matahari, Cahaya, Panas, Panel = surya
Senyawa, Atom, Molekul, Reaksi = kimia
Tanaman, Pertumbuhan, Fotosintesis, Klorofil = botani
Kesehatan, Olahraga, Kebugaran, Diet = nutrisi
Hutan, Tumbuhan, Fauna, Konservasi = ekologi
Hukum, Peraturan, Pengadilan, Hakim = legal
Teks, Data, Basis, Informasi = database
Pesawat, Kendali, Terbang, Navigasi = pilot
Film, Aktor, Skenario, Produksi = sinematografi
Buku, Pustaka, Referensi, Pengetahuan = literatur
Komputer, Internet, Data, Sistem = teknologi
Energi, Tenaga, Listrik, Generator = energi
Bakteri, Virus, Infeksi, Obat = mikrobiologi
Jaringan, Komputer, Keamanan, Internet = siber
Pasar, Produk, Iklan, Strategi = marketing
Gen, Kromosom, DNA, Sel = genetika
Budaya, Sejarah, Tradisi, Seni = antropologi
Desain, Grafik, Kreatif, Visual = desain
Hujan, Cuaca, Suhu, Prediksi = meteorologi
Musik, Nada, Lagu, Melodi = musik
Gigi, Kesehatan, Perawatan, Mulut = dental
Otot, Tulang, Gerakan, Sendi = anatomi
Transportasi, Kereta, Mobil, Jalan = otomotif
Kode, Program, Komputer, Algoritma = software
Planet, Bintang, Galaksi, Tata Surya = astronomi
Pesan, Komunikasi, Media, Berita = jurnalis
Sinyal, Frekuensi, Radio, Komunikasi = telekomunikasi
Riset, Data, Analisis, Kesimpulan = penelitian
Tanah, Subur, Kebun, Padi = agrikultur
Protein, Metabolisme, Sel, Genetik = biokimia
Tumbuhan, Herbivora, Ekosistem, Habitat = botani
Komputer, Server, Jaringan, Internet = IT
Tari, Gerak, Musik, Koreografi = penari
Listrik, Tegangan, Arus, Kabel = elektrik
Manajemen, Organisasi, Efisiensi, Struktur = manajer
Gambar, Film, Animasi, Gerak = animator
Desain, Rancang, Bangunan, Konstruksi = arsitek
Hukum, Pengadilan, Kasus, Peraturan = pengacara
Sistem, Komputer, Informasi, Jaringan = IT
Bahasa, Kata, Makna, Terjemah = linguistik
Protein, Enzim, Metabolisme, Sel = biokimia
Kesehatan, Obat, Pasien, Terapi = dokter
Bank, Tabungan, Pinjaman, Investasi = bankir
Desain, Bangunan, Konstruksi, Rancang = arsitek
Mikroba, Bakteri, Virus, Patogen = mikrobiologi
Film, Skenario, Produksi, Aktor = sinematografi
Ekonomi, Pasar, Harga, Permintaan = ekonomi
Energi, Bahan Bakar, Sumber Daya, Tenaga = energi
Mobil, Mesin, Transportasi, Roda = otomotif
Jaringan, Keamanan, Internet, Siber = siber
Pesawat, Pilot, Kokpit, Bandara = aviator
Gigi, Mulut, Kesehatan, Perawatan = dental
Organisasi, Manajemen, Struktur, Efisiensi = manajer
Satelit, Orbit, Sinyal, Komunikasi = antena
Buku, Pengetahuan, Referensi, Perpustakaan = literatur
Laut, Samudra, Pantai, Kapal = maritim
Dokter, Pasien, Kesehatan, Diagnosa = medis
Bahasa, Kata, Makna, Terjemah = penerjemah
Hewan, Tumbuhan, Ekosistem, Habitat = ekologi
Cerita, Novel, Karakter, Narasi = fiksi
Desain, Grafik, Kreatif, Visual = desainer
Anatomi, Otot, Tulang, Sendi = anatomi
Bakteri, Virus, Infeksi, Imun = mikrobiologi
Film, Kamera, Skenario, Produksi = film maker
Teks, Data, Basis, Informasi = database
Kesehatan, Olahraga, Kebugaran, Diet = gizi
Hukum, Peraturan, Pengadilan, Hakim = legal
Kerajinan, Bahan, Produk, Desain = pengrajin
Planet, Bintang, Galaksi, Tata Surya = astronomi
